focus_area_norm,focus_area_simple,sample_count,focus_area_display,specialty,specialty_score,assignment_source,runner_up,runner_up_score,score_margin
leber congenital amaurosis 15,leber congenital amaurosis 15,1,Leber congenital amaurosis 15,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
leber congenital amaurosis 16,leber congenital amaurosis 16,1,Leber congenital amaurosis 16,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
leber congenital amaurosis 2,leber congenital amaurosis 2,1,Leber congenital amaurosis 2,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
leber congenital amaurosis 4,leber congenital amaurosis 4,1,Leber congenital amaurosis 4,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
late-onset retinal degeneration,late onset retinal degeneration,1,Late-onset retinal degeneration,General & Preventive Medicine,0.04185623303055763,fallback_default,General & Preventive Medicine,0.0,0.04185623303055763
late-onset familial alzheimer disease,late onset familial alzheimer disease,1,Late-Onset Familial Alzheimer Disease,Neurology & Neurosurgery,1.0,regex_override,Gastroenterology & Hepatology,0.03767289,0.9623271115124226
dystonia 11,dystonia 11,1,Dystonia 11,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
lassueur-graham-little syndrome,lassueur graham little syndrome,1,Lassueur-Graham-Little syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.006612065,0.9933879352174699
lambdoid synostosis,lambdoid synostosis,1,Lambdoid synostosis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
e. coli infections,e coli infections,1,E. Coli Infections,General & Preventive Medicine,0.07989726960659027,fallback_default,Dental & Oral Health,0.046860956,0.03303631395101547
e-cigarettes,e cigarettes,1,E-Cigarettes,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
"dystonia 7, torsion",dystonia 7 torsion,1,"Dystonia 7, torsion",General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
"dystonia 6, torsion",dystonia 6 torsion,1,"Dystonia 6, torsion",General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
"dystonia 5, dopa-responsive type",dystonia 5 dopa responsive type,1,"Dystonia 5, Dopa-responsive type",General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
large granular lymphocyte leukemia,large granular lymphocyte leukemia,1,Large granular lymphocyte leukemia,Oncology,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
"dystonia 3, torsion, x-linked",dystonia 3 torsion x linked,1,"Dystonia 3, torsion, X-linked",Genetics & Rare Disorders,1.0,regex_override,General & Preventive Medicine,0.0,1.0
"dystonia 2, torsion, autosomal recessive",dystonia 2 torsion autosomal recessive,1,"Dystonia 2, torsion, autosomal recessive",Genetics & Rare Disorders,1.0,regex_override,General & Preventive Medicine,0.0,1.0
larsen-like syndrome,larsen like syndrome,1,Larsen-like syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.009125546,0.9908744543790817
dystonia 19,dystonia 19,1,Dystonia 19,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
dystonia 18,dystonia 18,1,Dystonia 18,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
dystonia 16,dystonia 16,1,Dystonia 16,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
"larynx, congenital partial atresia of",larynx congenital partial atresia of,1,"Larynx, congenital partial atresia of",General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
laser eye surgery,laser eye surgery,1,Laser Eye Surgery,Ophthalmology,1.0,regex_override,Dental & Oral Health,0.04884253,0.9511574693024158
immune defect due to absence of thymus,immune defect due to absence of thymus,1,Immune defect due to absence of thymus,Immunology & Rheumatology,1.0,regex_override,General & Preventive Medicine,0.0,1.0
"immotile cilia syndrome, due to defective radial spokes",immotile cilia syndrome due to defective radial spokes,1,"Immotile cilia syndrome, due to defective radial spokes",Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.0046113776,0.9953886223956943
iminoglycinuria,iminoglycinuria,1,Iminoglycinuria,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
gallbladder diseases,gallbladder diseases,1,Gallbladder Diseases,Gastroenterology & Hepatology,1.0,regex_override,Genetics & Rare Disorders,0.08850142,0.9114985764026642
gamma-cystathionase deficiency,gamma cystathionase deficiency,1,Gamma-cystathionase deficiency,General & Preventive Medicine,0.020959453657269478,fallback_default,General & Preventive Medicine,0.0,0.020959453657269478
heart diseases,heart diseases,1,Heart Diseases,Cardiology & Vascular,1.0,regex_override,Genetics & Rare Disorders,0.09955965,0.9004403501749039
heart diseases--prevention,heart diseases prevention,1,Heart Diseases--Prevention,Cardiology & Vascular,1.0,regex_override,Infectious Diseases,0.1307541,0.8692459017038345
gamma aminobutyric acid transaminase deficiency,gamma aminobutyric acid transaminase deficiency,1,Gamma aminobutyric acid transaminase deficiency,General & Preventive Medicine,0.015144080854952335,fallback_default,General & Preventive Medicine,0.0,0.015144080854952335
game friedman paradice syndrome,game friedman paradice syndrome,1,Game Friedman Paradice syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.0065038423,0.993496157694608
heart surgery,heart surgery,1,Heart Surgery,Cardiology & Vascular,1.0,regex_override,Dental & Oral Health,0.068905935,0.9310940653085709
heart transplantation,heart transplantation,1,Heart Transplantation,Cardiology & Vascular,1.0,regex_override,General & Preventive Medicine,0.0,1.0
heart valve diseases,heart valve diseases,1,Heart Valve Diseases,Cardiology & Vascular,1.0,regex_override,Genetics & Rare Disorders,0.070255674,0.9297443255782127
gangrene,gangrene,1,Gangrene,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
"heart-hand syndrome, slovenian type",heart hand syndrome slovenian type,1,"Heart-hand syndrome, Slovenian type",Cardiology & Vascular,1.0,regex_override,Genetics & Rare Disorders,0.4,0.5999999940395355
"heart-hand syndrome, spanish type",heart hand syndrome spanish type,1,"Heart-hand syndrome, Spanish type",Cardiology & Vascular,1.0,regex_override,Genetics & Rare Disorders,0.4,0.5999999940395355
heartburn,heartburn,1,Heartburn,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
heat illness,heat illness,1,Heat Illness,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
heel injuries and disorders,heel injuries and disorders,1,Heel Injuries and Disorders,General & Preventive Medicine,0.061145637184381485,fallback_default,Hematology,0.051075805,0.0100698322057724
helicobacter pylori infections,helicobacter pylori infections,1,Helicobacter Pylori Infections,General & Preventive Medicine,0.05915974825620651,fallback_default,Dental & Oral Health,0.034698088,0.024461660534143448
"hemangiomatosis, familial pulmonary capillary",hemangiomatosis familial pulmonary capillary,1,"Hemangiomatosis, familial pulmonary capillary",General & Preventive Medicine,0.03621800243854523,fallback_default,General & Preventive Medicine,0.0,0.03621800243854523
hearing problems in children,hearing problems in children,1,Hearing Problems in Children,Otolaryngology & ENT,1.0,regex_override,General & Preventive Medicine,0.0,1.0
hearing disorders and deafness,hearing disorders and deafness,1,Hearing Disorders and Deafness,Otolaryngology & ENT,1.0,regex_override,Neurology & Neurosurgery,0.058677807,0.9413221925497055
hazardous waste,hazardous waste,1,Hazardous Waste,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
health fraud,health fraud,1,Health Fraud,General & Preventive Medicine,0.08256730437278748,fallback_default,General & Preventive Medicine,0.07611594,0.006451360881328583
gastric lymphoma,gastric lymphoma,1,Gastric lymphoma,Oncology,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
head injuries,head injuries,1,Head Injuries,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
head lice,head lice,1,Head Lice,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
gas,gas,1,Gas,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
health checkup,health checkup,1,Health Checkup,General & Preventive Medicine,0.38149330019950867,anchor_similarity,Obstetrics & Gynecology,0.08840043,0.29309286922216415
health disparities,health disparities,1,Health Disparities,General & Preventive Medicine,0.08256730437278748,fallback_default,General & Preventive Medicine,0.07611594,0.006451360881328583
health facilities,health facilities,1,Health Facilities,General & Preventive Medicine,0.08256730437278748,fallback_default,General & Preventive Medicine,0.07611594,0.006451360881328583
health insurance,health insurance,1,Health Insurance,General & Preventive Medicine,0.08256730437278748,fallback_default,General & Preventive Medicine,0.07611594,0.006451360881328583
hearing aids,hearing aids,1,Hearing Aids,Infectious Diseases,1.0,regex_override,Infectious Diseases,0.35,0.6500000059604645
health literacy,health literacy,1,Health Literacy,General & Preventive Medicine,0.08256730437278748,fallback_default,General & Preventive Medicine,0.07611594,0.006451360881328583
health occupations,health occupations,1,Health Occupations,General & Preventive Medicine,0.08256730437278748,fallback_default,General & Preventive Medicine,0.07611594,0.006451360881328583
health problems in pregnancy,health problems in pregnancy,1,Health Problems in Pregnancy,General & Preventive Medicine,0.1390335112810135,fallback_default,General & Preventive Medicine,0.055031847,0.08400166407227516
health screening,health screening,1,Health Screening,General & Preventive Medicine,0.4566554129123688,anchor_similarity,Obstetrics & Gynecology,0.08697108,0.3696843311190605
health statistics,health statistics,1,Health Statistics,General & Preventive Medicine,0.08256730437278748,fallback_default,General & Preventive Medicine,0.07611594,0.006451360881328583
healthy aging,healthy aging,1,Healthy Aging,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
healthy living,healthy living,1,Healthy Living,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
galactose epimerase deficiency,galactose epimerase deficiency,1,Galactose epimerase deficiency,General & Preventive Medicine,0.020685303956270218,fallback_default,General & Preventive Medicine,0.0,0.020685303956270218
g6pd deficiency,g6pd deficiency,1,G6PD Deficiency,General & Preventive Medicine,0.02819819003343582,fallback_default,General & Preventive Medicine,0.0,0.02819819003343582
fungal infections,fungal infections,1,Fungal Infections,Infectious Diseases,0.3314228057861328,anchor_similarity,Dermatology,0.13150823,0.1999145746231079
fountain syndrome,fountain syndrome,1,Fountain syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
hepatic venoocclusive disease with immunodeficiency,hepatic venoocclusive disease with immunodeficiency,1,Hepatic venoocclusive disease with immunodeficiency,General & Preventive Medicine,0.0370333269238472,fallback_default,Pulmonology & Respiratory,0.03295744,0.00407588854432106
hepatitis,hepatitis,1,Hepatitis,Infectious Diseases,1.0,regex_override,Gastroenterology & Hepatology,0.1306575,0.8693425059318542
hepatitis a,hepatitis a,1,Hepatitis A,Infectious Diseases,1.0,regex_override,Gastroenterology & Hepatology,0.1306575,0.8693425059318542
hepatitis b,hepatitis b,1,Hepatitis B,Infectious Diseases,1.0,regex_override,Gastroenterology & Hepatology,0.1306575,0.8693425059318542
fournier gangrene,fournier gangrene,1,Fournier gangrene,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
hepatitis c,hepatitis c,1,Hepatitis C,Infectious Diseases,1.0,regex_override,Gastroenterology & Hepatology,0.1306575,0.8693425059318542
herbal medicine,herbal medicine,1,Herbal Medicine,General & Preventive Medicine,0.18747422099113464,anchor_similarity,Pediatrics & Development,0.0716209,0.11585332453250885
foreign bodies,foreign bodies,1,Foreign Bodies,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
hemifacial hyperplasia strabismus,hemifacial hyperplasia strabismus,1,Hemifacial hyperplasia strabismus,General & Preventive Medicine,0.06907057762145996,fallback_default,General & Preventive Medicine,0.0,0.06907057762145996
foot injuries and disorders,foot injuries and disorders,1,Foot Injuries and Disorders,General & Preventive Medicine,0.06411196291446686,fallback_default,Hematology,0.05355362,0.010558344423770905
foot health,foot health,1,Foot Health,General & Preventive Medicine,0.08977964520454407,fallback_default,General & Preventive Medicine,0.08276475,0.007014892995357513
hereditary congenital facial paresis,hereditary congenital facial paresis,1,Hereditary congenital facial paresis,Genetics & Rare Disorders,1.0,regex_override,General & Preventive Medicine,0.0,1.0
foodborne illness,foodborne illness,1,Foodborne Illness,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
food safety,food safety,1,Food Safety,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
hereditary elliptocytosis,hereditary elliptocytosis,1,Hereditary elliptocytosis,Genetics & Rare Disorders,1.0,regex_override,General & Preventive Medicine,0.0,1.0
food labeling,food labeling,1,Food Labeling,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
fractures,fractures,1,Fractures,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
heparin-induced thrombocytopenia,heparin induced thrombocytopenia,1,Heparin-induced thrombocytopenia,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
fraser like syndrome,fraser like syndrome,1,Fraser like syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.009125546,0.9908744543790817
frias syndrome,frias syndrome,1,Frias syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
fukuyama type muscular dystrophy,fukuyama type muscular dystrophy,1,Fukuyama type muscular dystrophy,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
hemifacial myohyperplasia,hemifacial myohyperplasia,1,Hemifacial myohyperplasia,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
fuhrmann syndrome,fuhrmann syndrome,1,Fuhrmann syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
fucosidosis type 1,fucosidosis type 1,1,Fucosidosis type 1,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
fryns hofkens fabry syndrome,fryns hofkens fabry syndrome,1,Fryns Hofkens Fabry syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.006602339,0.9933976610191166
hemolytic anemia lethal congenital nonspherocytic with genital and other abnormalities,hemolytic anemia lethal congenital nonspherocytic with genital and other abnormalities,1,Hemolytic anemia lethal congenital nonspherocytic with genital and other abnormalities,Hematology,1.0,regex_override,Genetics & Rare Disorders,0.032913804,0.9670861959457397
fructosuria,fructosuria,1,Fructosuria,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
"hemolytic uremic syndrome, atypical, childhood",hemolytic uremic syndrome atypical childhood,1,"Hemolytic uremic syndrome, atypical, childhood",Genetics & Rare Disorders,1.0,regex_override,Pediatrics & Development,0.029264135,0.970735864713788
frostbite,frostbite,1,Frostbite,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
"hemophagocytic lymphohistiocytosis, familial, 3",hemophagocytic lymphohistiocytosis familial 3,1,"Hemophagocytic lymphohistiocytosis, familial, 3",General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
"hemophagocytic lymphohistiocytosis, familial, 4",hemophagocytic lymphohistiocytosis familial 4,1,"Hemophagocytic lymphohistiocytosis, familial, 4",General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
"frontotemporal dementia, ubiquitin-positive",frontotemporal dementia ubiquitin positive,1,"Frontotemporal dementia, ubiquitin-positive",Neurology & Neurosurgery,1.0,regex_override,General & Preventive Medicine,0.0,1.0
hemorrhagic fevers,hemorrhagic fevers,1,Hemorrhagic Fevers,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
hemorrhagic stroke,hemorrhagic stroke,1,Hemorrhagic Stroke,Neurology & Neurosurgery,1.0,regex_override,General & Preventive Medicine,0.0,1.0
frontofacionasal dysplasia,frontofacionasal dysplasia,1,Frontofacionasal dysplasia,Genetics & Rare Disorders,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
head and neck cancer,head and neck cancer,1,Head and Neck Cancer,Oncology,1.0,regex_override,Neurology & Neurosurgery,0.0125956815,0.9874043185263872
hay fever,hay fever,1,Hay Fever,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
faciocardiorenal syndrome,faciocardiorenal syndrome,1,Faciocardiorenal syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
granulomatous amebic encephalitis,granulomatous amebic encephalitis,1,Granulomatous Amebic Encephalitis,Neurology & Neurosurgery,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
gosr2-related progressive myoclonus ataxia,gosr2 related progressive myoclonus ataxia,1,GOSR2-related progressive myoclonus ataxia,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
giant platelet syndrome,giant platelet syndrome,1,Giant platelet syndrome,Hematology,1.0,regex_override,Hematology,0.3,0.699999988079071
gracile bone dysplasia,gracile bone dysplasia,1,Gracile bone dysplasia,Musculoskeletal & Orthopedics,1.0,regex_override,Hematology,0.04697997,0.9530200287699699
graham boyle troxell syndrome,graham boyle troxell syndrome,1,Graham Boyle Troxell syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.006612065,0.9933879352174699
graham-cox syndrome,graham cox syndrome,1,Graham-Cox syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.008136959,0.9918630411848426
giant cell arteritis,giant cell arteritis,1,Giant Cell Arteritis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
ghosal hematodiaphyseal dysplasia syndrome,ghosal hematodiaphyseal dysplasia syndrome,1,Ghosal hematodiaphyseal dysplasia syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.007242729,0.9927572710439563
gestational trophoblastic tumor,gestational trophoblastic tumor,1,Gestational trophoblastic tumor,Oncology,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
gorlin chaudhry moss syndrome,gorlin chaudhry moss syndrome,1,Gorlin Chaudhry Moss syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.006650066,0.9933499339967966
germs and hygiene,germs and hygiene,1,Germs and Hygiene,General & Preventive Medicine,0.013165164738893509,fallback_default,Oncology,0.012751141,0.00041402410715818405
gerd,gerd,1,GERD,Gastroenterology & Hepatology,0.20000000298023224,anchor_similarity,General & Preventive Medicine,0.0,0.20000000298023224
griscelli syndrome type 3,griscelli syndrome type 3,1,Griscelli syndrome type 3,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.010181382,0.9898186177015305
"genu valgum, st helena familial",genu valgum st helena familial,1,"Genu valgum, st Helena familial",General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
groenouw type i corneal dystrophy,groenouw type i corneal dystrophy,1,Groenouw type I corneal dystrophy,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
growth disorders,growth disorders,1,Growth Disorders,Pediatrics & Development,0.3142428696155548,anchor_similarity,Hematology,0.07538704,0.23885583132505417
genochondromatosis,genochondromatosis,1,Genochondromatosis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
giardia infections,giardia infections,1,Giardia Infections,General & Preventive Medicine,0.07989726960659027,fallback_default,Dental & Oral Health,0.046860956,0.03303631395101547
gorlin bushkell jensen syndrome,gorlin bushkell jensen syndrome,1,Gorlin Bushkell Jensen syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.006755466,0.9932445338927209
hawkinsinuria,hawkinsinuria,1,Hawkinsinuria,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
glioma,glioma,1,Glioma,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
glycogen storage disease type 12,glycogen storage disease type 12,1,Glycogen storage disease type 12,General & Preventive Medicine,0.053149305284023285,fallback_default,Gastroenterology & Hepatology,0.042551465,0.010597839951515198
"glutamine deficiency, congenital",glutamine deficiency congenital,1,"Glutamine deficiency, congenital",General & Preventive Medicine,0.02296699397265911,fallback_default,General & Preventive Medicine,0.0,0.02296699397265911
glomus tympanicum tumor,glomus tympanicum tumor,1,Glomus tympanicum tumor,Oncology,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
glomerulopathy with fibronectin deposits 2,glomerulopathy with fibronectin deposits 2,1,Glomerulopathy with fibronectin deposits 2,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
glomerulopathy with fibronectin deposits 1,glomerulopathy with fibronectin deposits 1,1,Glomerulopathy with fibronectin deposits 1,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
glomerulonephritis with sparse hair and telangiectases,glomerulonephritis with sparse hair and telangiectases,1,Glomerulonephritis with sparse hair and telangiectases,General & Preventive Medicine,0.0587187334895134,fallback_default,Dermatology,0.028948855,0.029769878834486008
gliomatosis cerebri,gliomatosis cerebri,1,Gliomatosis cerebri,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
glycosylphosphatidylinositol deficiency,glycosylphosphatidylinositol deficiency,1,Glycosylphosphatidylinositol deficiency,General & Preventive Medicine,0.02819819003343582,fallback_default,General & Preventive Medicine,0.0,0.02819819003343582
good syndrome,good syndrome,1,Good syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
glaucoma sleep apnea,glaucoma sleep apnea,1,Glaucoma sleep apnea,Ophthalmology,1.0,regex_override,Ophthalmology,0.404466,0.5955339968204498
glaucoma 3 primary infantile b,glaucoma 3 primary infantile b,1,Glaucoma 3 primary infantile B,Ophthalmology,1.0,regex_override,General & Preventive Medicine,0.032828633,0.9671713672578335
"gingival fibromatosis, 1",gingival fibromatosis 1,1,"Gingival fibromatosis, 1",General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
gollop coates syndrome,gollop coates syndrome,1,Gollop Coates syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.007937764,0.9920622361823916
gombo syndrome,gombo syndrome,1,GOMBO syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
"gonadal dysgenesis, xx type",gonadal dysgenesis xx type,1,"Gonadal dysgenesis, XX type",General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
gonorrhea,gonorrhea,1,Gonorrhea,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
growth hormone deficiency,growth hormone deficiency,1,Growth hormone deficiency,Endocrinology & Diabetes,1.0,regex_override,Pediatrics & Development,0.26100758,0.7389924228191376
growth hormone insensitivity with immunodeficiency,growth hormone insensitivity with immunodeficiency,1,Growth hormone insensitivity with immunodeficiency,Endocrinology & Diabetes,1.0,regex_override,Pediatrics & Development,0.24038456,0.7596154361963272
grubben de cock borghgraef syndrome,grubben de cock borghgraef syndrome,1,Grubben de Cock Borghgraef syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.005754838,0.994245161768049
hantavirus infections,hantavirus infections,1,Hantavirus Infections,General & Preventive Medicine,0.0825129970908165,fallback_default,Dental & Oral Health,0.048395123,0.03411787375807762
hall riggs mental retardation syndrome,hall riggs mental retardation syndrome,1,Hall Riggs mental retardation syndrome,Psychiatry & Behavioral Health,1.0,regex_override,Psychiatry & Behavioral Health,0.37771186,0.6222881376743317
genes and gene therapy,genes and gene therapy,1,Genes and Gene Therapy,General & Preventive Medicine,0.05139343813061714,fallback_default,Musculoskeletal & Orthopedics,0.049459625,0.0019338130950927734
hamanishi ueba tsuji syndrome,hamanishi ueba tsuji syndrome,1,Hamanishi Ueba Tsuji syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.0065038423,0.993496157694608
hand and foot deformity with flat facies,hand and foot deformity with flat facies,1,Hand and foot deformity with flat facies,General & Preventive Medicine,0.00840724166482687,fallback_default,Oncology,0.008142848,0.0002643940970301628
hand injuries and disorders,hand injuries and disorders,1,Hand Injuries and Disorders,General & Preventive Medicine,0.06435362249612808,fallback_default,Hematology,0.05375548,0.010598141700029373
hansen's disease,hansen s disease,1,Hansen's disease,General & Preventive Medicine,0.0631067305803299,fallback_default,Pulmonology & Respiratory,0.056161206,0.006945524364709854
geleophysic dwarfism,geleophysic dwarfism,1,Geleophysic dwarfism,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
hantavirus pulmonary syndrome,hantavirus pulmonary syndrome,1,Hantavirus pulmonary syndrome,Genetics & Rare Disorders,1.0,regex_override,Pulmonology & Respiratory,0.045681246,0.9543187543749809
gtp cyclohydrolase i deficiency,gtp cyclohydrolase i deficiency,1,GTP cyclohydrolase I deficiency,General & Preventive Medicine,0.020463544875383377,fallback_default,General & Preventive Medicine,0.0,0.020463544875383377
hard skin syndrome parana type,hard skin syndrome parana type,1,Hard skin syndrome Parana type,Dermatology,1.0,regex_override,Dermatology,0.34788278,0.6521172225475311
"gay, lesbian, bisexual and transgender health",gay lesbian bisexual and transgender health,1,"Gay, Lesbian, Bisexual and Transgender Health",General & Preventive Medicine,0.04113946855068207,fallback_default,General & Preventive Medicine,0.037925053,0.0032144151628017426
harrod doman keele syndrome,harrod doman keele syndrome,1,Harrod Doman Keele syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.0065038423,0.993496157694608
gastroschisis,gastroschisis,1,Gastroschisis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
gastrointestinal bleeding,gastrointestinal bleeding,1,Gastrointestinal Bleeding,General & Preventive Medicine,0.08799969404935837,fallback_default,Genetics & Rare Disorders,0.0,0.08799969404935837
gastroenteritis,gastroenteritis,1,Gastroenteritis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
gastrocutaneous syndrome,gastrocutaneous syndrome,1,Gastrocutaneous syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
genetic brain disorders,genetic brain disorders,1,Genetic Brain Disorders,Neurology & Neurosurgery,1.0,regex_override,Genetics & Rare Disorders,0.49564573,0.5043542683124542
hairy palms and soles,hairy palms and soles,1,Hairy palms and soles,General & Preventive Medicine,0.011041559278964996,fallback_default,Oncology,0.010694319,0.0003472398966550827
hairy nose tip,hairy nose tip,1,Hairy nose tip,Otolaryngology & ENT,0.3997059762477875,anchor_similarity,General & Preventive Medicine,0.0,0.3997059762477875
hairy elbows,hairy elbows,1,Hairy elbows,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
genital warts,genital warts,1,Genital Warts,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
genital herpes,genital herpes,1,Genital Herpes,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
gum disease,gum disease,1,Gum Disease,Dental & Oral Health,1.0,regex_override,Gastroenterology & Hepatology,0.064450264,0.9355497360229492
gun safety,gun safety,1,Gun Safety,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
gupta patton syndrome,gupta patton syndrome,1,Gupta Patton syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.007937764,0.9920622361823916
genetic testing,genetic testing,1,Genetic Testing,Genetics & Rare Disorders,1.0,regex_override,General & Preventive Medicine,0.0,1.0
